@relation Titanic

@attribute AGE numeric
@attribute CLASSID string
@attribute Description string
@attribute FARE numeric
@attribute GENDER string
@attribute Name string
@attribute SURVIVED numeric
@attribute TICKET string

@data
27,3,'no description',8.6625,male,'no name',1,315098
30,1,'no description',26,male,'no name',0,110469
39,3,'no description',31.275,female,'no name',0,347082
54,2,'no description',14,male,'no name',0,29011
30,2,'no description',13,male,'no name',0,250653
29,2,'no description',10.5,female,'no name',1,'C.A. 29395'
51,1,'no description',77.9583,female,'no name',1,13502
27,1,'no description',247.5208,female,'no name',1,'PC 17558'
52,1,'no description',30.5,male,'no name',1,113786
28,2,'no description',26,male,'no name',0,244358
24,3,'no description',7.4958,male,'no name',0,349209
39,1,'no description',108.9,female,'no name',1,'PC 17758'
27,1,'no description',211.5,male,'no name',0,113503
35,3,'no description',7.8958,male,'no name',0,349230
54,1,'no description',78.2667,female,'no name',1,36947
24,1,'no description',263,female,'no name',1,19950
13,3,'no description',20.25,male,'no name',0,'C.A. 2673'
14.5,3,'no description',14.4542,female,'no name',0,2665
29,3,'no description',7.775,male,'no name',0,347067
49,1,'no description',26,male,'no name',0,19924
9,3,'no description',46.9,male,'no name',0,'CA 2144'
41,3,'no description',14.1083,male,'no name',0,350026
2,3,'no description',10.4625,female,'no name',0,347054
32,2,'no description',10.5,male,'no name',0,'C.A. 33111'
30,3,'no description',7.6292,female,'no name',0,330972
36,2,'no description',13,female,'no name',1,28551
54,2,'no description',26,male,'no name',0,28403
21,2,'no description',73.5,male,'no name',0,'S.O.C. 14879'
35,1,'no description',512.3292,male,'no name',1,'PC 17755'
28,2,'no description',13,female,'no name',1,230434
23,3,'no description',8.05,female,'no name',1,'SOTON/OQ 392083'
22,3,'no description',8.05,male,'no name',0,'SC/A4 23568'
18,2,'no description',11.5,male,'no name',0,231945
40,2,'no description',13,male,'no name',0,28221
56,1,'no description',30.6958,male,'no name',0,17764
38,2,'no description',21,male,'no name',0,28664
40,2,'no description',15.75,female,'no name',1,'C.A. 33595'
21,3,'no description',7.8542,male,'no name',0,350410
36,3,'no description',7.8958,male,'no name',0,349247
21,3,'no description',16.1,male,'no name',0,54636
36,3,'no description',17.4,female,'no name',1,345572
47,1,'no description',38.5,male,'no name',0,111320
45,1,'no description',164.8667,female,'no name',1,36928
5,3,'no description',19.2583,female,'no name',1,2666
25,3,'no description',7.225,male,'no name',0,2672
29,1,'no description',211.3375,female,'no name',1,24160
30,2,'no description',13,male,'no name',0,250646
35,1,'no description',211.5,female,'no name',1,113503
47,1,'no description',227.525,male,'no name',0,'PC 17757'
39,1,'no description',71.2833,male,'no name',0,'PC 17599'
